CRDID,FINRAMember,firmName,IMID,exchangeID,ATSFlag,defaultIMIDFlag
153585,Y,"SIMPLEX TRADING, LLC",758B,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758H,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758H,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758H,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758H,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758M,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758Q,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758Q,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758Q,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758T,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",75S,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",76S,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",77,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",77S,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",78S,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",795,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",795A,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",795G,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",79S,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",8,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",80S,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",83,SPHR,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",84,SPHR,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",896,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",896A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",897,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",897A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",898,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",898A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",899,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",899A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",9,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",900,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",900A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",904,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",904A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",905,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",905A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",906,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",906A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",907,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",907A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",908,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",908A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",909,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",909A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",910,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",910A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",913,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",913A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",915,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",915A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",916,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",916A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",917,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",917A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",918,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",918A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",919,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",919A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",921,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",921A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",922,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",922A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",FLOP,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",FLOP,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",FSPL,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",J47B,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",J47C,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",J47S,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",M46,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",M46B,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",M46C,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",M65,AMEROP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",M65B,AMEROP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",M65C,AMEROP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SE1,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SE2,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SE3,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SE4,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SE5,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SE6,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SE7,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SE8,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SET3,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SET4,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXA,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXA,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXA,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXA,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXB,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXB,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXB,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXB,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXC,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXD,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXE,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SGXF,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA,BX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA,FINRA,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA,NSDQ,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA,PSX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA526,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA622,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA679,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA899,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA905,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA910,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMA922,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,AMEROP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,BX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,FINRA,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,NSDQ,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB,PSX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB473,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMB758,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMC,AMEROP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMC,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMC,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMC,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMC,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMC,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMC,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMC622,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMD,AMEROP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMD,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMD,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMD,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMD,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMD,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMD,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMD526,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIME,AMEROP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIME,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIME,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIME,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIME,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIME,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIME,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIME679,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMF,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMF,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMF,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMF,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMF,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMF473,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMG,BX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMG,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMG,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMG,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMG,FINRA,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMG,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMG,NSDQ,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMG,PSX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMG758,MEMXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMK,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIML,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMN,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMN,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMN,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMN,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,AMEROP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,ARCAOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,BX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,BZXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,C2,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,CBOE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,EDGXOP,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,FINRA,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,NSDQ,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",SIMP,PHLX,blank,blank
