,CRDID,FINRAMember,firmName,IMID,exchangeID,ATSFlag,defaultIMIDFlag
4138,14020,Y,ABN AMRO CLEARING USA LLC,AACB,CBOE,,
4139,14020,Y,ABN AMRO CLEARING USA LLC,AACB,EDGXOP,,
4140,14020,Y,ABN AMRO CLEARING USA LLC,AACD,BZXOP,,
4141,14020,Y,ABN AMRO CLEARING USA LLC,AACD,C2,,
4142,14020,Y,ABN AMRO CLEARING USA LLC,AACD,CBOE,,
4145,14020,Y,ABN AMRO CLEARING USA LLC,AACE,BZXOP,,
4146,14020,Y,ABN AMRO CLEARING USA LLC,AACE,C2,,
4147,14020,Y,ABN AMRO CLEARING USA LLC,AACE,CBOE,,
4148,14020,Y,ABN AMRO CLEARING USA LLC,AACE,EDGXOP,,
4149,14020,Y,ABN AMRO CLEARING USA LLC,AALK,CBOE,,
4207,14020,Y,ABN AMRO CLEARING USA LLC,FMGF,BZXOP,,
4208,14020,Y,ABN AMRO CLEARING USA LLC,FMGF,C2,,
4209,14020,Y,ABN AMRO CLEARING USA LLC,FMGF,CBOE,,
4212,14020,Y,ABN AMRO CLEARING USA LLC,FMGF,EDGXOP,,
4260,14020,Y,ABN AMRO CLEARING USA LLC,SHMR,BZXOP,,Y
4394,15794,Y,BNP PARIBAS SECURITIES CORP.,BNPB,BZXOP,,
4412,15794,Y,BNP PARIBAS SECURITIES CORP.,BNPH,CBOE,,
4417,15794,Y,BNP PARIBAS SECURITIES CORP.,BNPQ,CBOE,,
4425,15794,Y,BNP PARIBAS SECURITIES CORP.,BNPS,BZXOP,,Y
4426,15794,Y,BNP PARIBAS SECURITIES CORP.,BNPS,C2,,Y
4427,15794,Y,BNP PARIBAS SECURITIES CORP.,BNPS,CBOE,,Y
4448,15794,Y,BNP PARIBAS SECURITIES CORP.,BNPX,BZXOP,,
4478,15794,Y,BNP PARIBAS SECURITIES CORP.,PARI,BZXOP,,
4541,16686,Y,BMO CAPITAL MARKETS CORP.,BMOC,BZXOP,,Y
4542,16686,Y,BMO CAPITAL MARKETS CORP.,BMOC,C2,,Y
4543,16686,Y,BMO CAPITAL MARKETS CORP.,BMOC,CBOE,,Y
4656,18367,Y,"GELBER SECURITIES, LLC",GGEO,CBOE,,
4657,18367,Y,"GELBER SECURITIES, LLC",GGSD,CBOE,,
4955,19585,Y,HSBC SECURITIES (USA) INC.,HSBC,CBOE,,Y
4963,19585,Y,HSBC SECURITIES (USA) INC.,HSBD,CBOE,,
4990,19616,Y,"WELLS FARGO CLEARING SERVICES, LLC",WRET,CBOE,,Y
5047,19714,Y,BARCLAYS CAPITAL INC.,AVTM,BZXOP,,
5048,19714,Y,BARCLAYS CAPITAL INC.,AVTM,C2,,
5049,19714,Y,BARCLAYS CAPITAL INC.,AVTM,CBOE,,
5050,19714,Y,BARCLAYS CAPITAL INC.,AVTM,EDGXOP,,
5051,19714,Y,BARCLAYS CAPITAL INC.,AVTP,BZXOP,,
5106,19714,Y,BARCLAYS CAPITAL INC.,BCAL,BZXOP,,
5107,19714,Y,BARCLAYS CAPITAL INC.,BCAL,CBOE,,
5119,19714,Y,BARCLAYS CAPITAL INC.,BCAP,BZXOP,,
5120,19714,Y,BARCLAYS CAPITAL INC.,BCAP,C2,,
5121,19714,Y,BARCLAYS CAPITAL INC.,BCAP,CBOE,,
5124,19714,Y,BARCLAYS CAPITAL INC.,BCAP,EDGXOP,,
5229,19714,Y,BARCLAYS CAPITAL INC.,LEHM,BZXOP,,
5230,19714,Y,BARCLAYS CAPITAL INC.,LEHM,C2,,
5231,19714,Y,BARCLAYS CAPITAL INC.,LEHM,CBOE,,
5235,19714,Y,BARCLAYS CAPITAL INC.,LEHM,EDGXOP,,
5307,19714,Y,BARCLAYS CAPITAL INC.,PFLO,C2,,
5308,19714,Y,BARCLAYS CAPITAL INC.,PFLO,CBOE,,
5804,31194,Y,"RBC CAPITAL MARKETS, LLC",GELP,BZXOP,,
5849,31194,Y,"RBC CAPITAL MARKETS, LLC",RBCM,BZXOP,,
5850,31194,Y,"RBC CAPITAL MARKETS, LLC",RBCM,C2,,
5851,31194,Y,"RBC CAPITAL MARKETS, LLC",RBCM,CBOE,,
6448,33319,Y,IBKR SECURITIES SERVICES LLC,TMBH,C2,,
6449,33319,Y,IBKR SECURITIES SERVICES LLC,TMBH,CBOE,,
6471,33725,Y,SRT SECURITIES LLC,IAEB,CBOE,,
6473,33725,Y,SRT SECURITIES LLC,IAEC,CBOE,,Y
6476,33725,Y,SRT SECURITIES LLC,IAED,CBOE,,
6482,33725,Y,SRT SECURITIES LLC,SRTA,CBOE,,
6518,33875,Y,SUSQUEHANNA INVESTMENT GROUP,SIGG,CBOE,,Y
6525,34381,Y,"LAKESHORE SECURITIES, L.P.",LKSK,CBOE,,
6526,34381,Y,"LAKESHORE SECURITIES, L.P.",LKSL,CBOE,,
6527,34381,Y,"LAKESHORE SECURITIES, L.P.",LKSS,CBOE,,
6528,34381,Y,"LAKESHORE SECURITIES, L.P.",LKSV,CBOE,,
6539,35230,Y,CASEY SECURITIES LLC,CASS,CBOE,,
6548,35230,Y,CASEY SECURITIES LLC,RFAO,CBOE,,
7342,35874,Y,"SUSQUEHANNA SECURITIES, LLC",QVTA,CBOE,,
7370,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBKG,BZXOP,,
7371,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBKH,BZXOP,,
7372,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBKJ,BZXOP,,
7373,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMA,BZXOP,,
7374,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMB,BZXOP,,
7375,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMC,BZXOP,,
7376,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMD,BZXOP,,
7377,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBME,BZXOP,,
7378,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMF,BZXOP,,
7379,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMG,BZXOP,,
7380,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMH,BZXOP,,
7381,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMI,BZXOP,,
7382,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMJ,BZXOP,,
7383,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMK,BZXOP,,
7384,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBML,BZXOP,,
7385,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMM,BZXOP,,
7386,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMN,BZXOP,,
7387,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBMP,BZXOP,,
7388,35874,Y,"SUSQUEHANNA SECURITIES, LLC",SBNP,BZXOP,,
